GyroX,GyroY,GyroZ,Thumb,Index,Middle,Ring,Pinky,Gesture
0,0,0,17033,23684,22731,32108,39411,0
0,0,0,17067,23684,22709,32108,39411,0
0,0,0,17050,23661,22709,32010,39327,0
0,0,0,17016,23661,22731,32043,39369,0
0,0,0,17016,23661,22687,32108,39327,0
0,0,0,17050,23615,22665,31978,39244,0
0,0,0,17016,23592,22643,31978,39327,0
0,0,0,17067,23615,22709,32043,39244,0
0,0,0,17050,23615,22665,32043,39160,0
0,0,0,17033,23615,22665,31978,39244,0
0,0,0,17033,23569,22665,32010,39160,0
0,0,0,17050,23615,22665,31978,39244,0
0,0,0,16999,23615,22665,31978,39160,0
0,0,0,17016,23592,22754,32010,39036,0
0,0,0,17016,23569,22665,31978,39160,0
0,0,0,17016,23569,22621,31913,39036,0
0,0,0,17050,23569,22665,31913,39077,0
0,0,0,17016,23546,22621,31946,38995,0
0,0,0,17016,23522,22621,31946,39160,0
0,0,0,17016,23615,22665,31913,39077,0
0,0,0,16983,23477,22576,31913,39036,0
0,0,0,17016,23522,22599,31913,39077,0
0,0,0,17016,23569,22599,31913,39077,0
0,0,0,16983,23522,22621,31849,39077,0
0,0,0,16999,23477,22576,31849,39077,0
0,0,0,17016,23522,22576,31881,39036,0
0,0,0,16999,23499,22599,31817,38953,0
0,0,0,16983,23522,22532,31849,38995,0
0,0,0,16983,23477,22599,31913,39119,0
0,0,0,16983,23477,22576,31817,39036,0
0,0,0,16949,23454,22576,31849,38995,0
0,0,0,16966,23522,22576,31849,38912,0
0,0,0,16949,23477,22576,31849,38953,0
0,0,0,16966,23522,22532,31817,38871,0
0,0,0,16966,23454,22576,31849,38830,0
0,0,0,16966,23477,22576,31817,38830,0
0,0,0,16983,23431,22532,31752,38995,0
0,0,0,16966,23431,22576,31785,38912,0
0,0,0,16983,23477,22532,31720,38871,0
0,0,0,16966,23431,22510,31720,38830,0
0,0,0,17016,23431,22510,31849,38830,0
0,0,0,16966,23431,22532,31785,38830,0
0,0,0,16999,23431,22510,31785,38871,0
0,0,0,16983,23431,22488,31752,38830,0
0,0,0,16999,23431,22576,31817,38871,0
0,0,0,16949,23454,22510,31752,38830,0
0,0,0,17016,23431,22488,31720,38912,0
0,0,0,16966,23431,22488,31752,38707,0
0,0,0,16999,23431,22510,31752,38748,0
0,0,0,16966,23431,22466,31720,38789,0
0,0,0,16983,23454,22488,31720,38748,0
0,0,0,16949,23431,22488,31752,38666,0
0,0,0,16949,23431,22510,31656,38748,0
0,0,0,16949,23431,22488,31752,38871,0
0,0,0,16983,23431,22444,31720,38789,0
0,0,0,16966,23431,22466,31720,38830,0
0,0,0,16932,23385,22423,31624,38748,0
0,0,0,16949,23431,22488,31656,38666,0
0,0,0,16949,23431,22488,31720,38707,0
0,0,0,16949,23385,22488,31688,38666,0
0,0,0,16949,23385,22444,31656,38666,0
0,0,0,16983,23339,22488,31656,38748,0
0,0,0,16966,23385,22510,31688,38789,0
0,0,0,16966,23431,22466,31656,38666,0
0,0,0,16949,23431,22444,31656,38748,0
0,0,0,16949,23362,22488,31656,38666,0
0,0,0,16949,23362,22401,31624,38666,0
0,0,0,16949,23385,22423,31593,38585,0
0,0,0,16983,23339,22444,31624,38666,0
0,0,0,16983,23294,22444,31656,38666,0
0,0,0,16949,23316,22401,31593,38503,0
0,0,0,16949,23385,22488,31624,38585,0
0,0,0,16949,23339,22444,31656,38666,0
0,0,0,16983,23362,22444,31624,38585,0
0,0,0,16949,23362,22401,31593,38585,0
0,0,0,16949,23362,22423,31529,38625,0
0,0,0,16966,23294,22423,31624,38625,0
0,0,0,16966,23294,22444,31624,38503,0
0,0,0,16966,23385,22401,31529,38503,0
0,0,0,16966,23316,22423,31593,38585,0
0,0,0,16983,23339,22423,31529,38585,0
0,0,0,16983,23339,22423,31624,38585,0
0,0,0,16966,23316,22423,31624,38585,0
0,0,0,16966,23294,22401,31593,38503,0
0,0,0,16949,23294,22401,31561,38503,0
0,0,0,16949,23294,22357,31593,38463,0
0,0,0,16915,23294,22401,31529,38341,0
0,0,0,16983,23339,22401,31624,38585,0
0,0,0,16949,23316,22401,31593,38422,0
0,0,0,16915,23294,22401,31529,38503,0
0,0,0,16898,23316,22401,31497,38422,0
0,0,0,17033,23294,22401,31593,38544,0
0,0,0,17135,23294,22379,31593,38382,0
